"","county","inflow","year"
"523","Dolores",120,2004
"524","Douglas",24841,2004
"525","Eagle",3406,2004
"526","Elbert",1435,2004
"527","El Paso",35806,2004
"528","Fremont",2051,2004
"529","Garfield",2682,2004
"530","Gilpin",408,2004
"531","Grand",1041,2004
"532","Gunnison",982,2004
"533","Hinsdale",74,2004
"534","Huerfano",350,2004
"535","Jackson",116,2004
"536","Jefferson",32094,2004
"537","Kiowa",83,2004
"538","Kit Carson",307,2004
"539","Lake",441,2004
"540","La Plata",2809,2004
"541","Larimer",15087,2004
"542","Las Animas",769,2004
"543","Lincoln",179,2004
"544","Logan",903,2004
"545","Mesa",6632,2004
"546","Mineral",80,2004
"547","Moffat",737,2004
"548","Montezuma",1392,2004
"549","Montrose",2238,2004
"550","Morgan",1224,2004
"551","Otero",708,2004
"552","Ouray",318,2004
"553","Park",1606,2004
"554","Phillips",219,2004
"555","Pitkin",876,2004
"556","Prowers",542,2004
"557","Pueblo",5177,2004
"558","Rio Blanco",418,2004
"559","Rio Grande",798,2004
"560","Routt",1355,2004
"561","Saguache",238,2004
"562","San Juan",55,2004
"563","San Miguel",508,2004
"564","Sedgwick",112,2004
"565","Summit",2332,2004
"566","Teller",1653,2004
"567","Washington",189,2004
"568","Weld",13974,2004
"569","Yuma",406,2004
"570","Adams",33087,2005
"571","Alamosa",909,2005
"572","Arapahoe",41568,2005
"573","Archuleta",855,2005
"574","Baca",147,2005
"575","Bent",255,2005
"576","Boulder",16330,2005
"577","Broomfield",5480,2005
"578","Chaffee",1024,2005
"579","Cheyenne",96,2005
"580","Clear Creek",716,2005
"581","Conejos",327,2005
"582","Costilla",154,2005
"583","Crowley",189,2005
"584","Custer",313,2005
"585","Delta",1528,2005
"586","Denver",42517,2005
"587","Dolores",124,2005
"588","Douglas",24818,2005
"589","Eagle",3314,2005
"590","Elbert",1693,2005
"591","El Paso",39985,2005
"592","Fremont",2289,2005
"593","Garfield",3178,2005
"594","Gilpin",424,2005
"595","Grand",871,2005
"596","Gunnison",993,2005
"597","Hinsdale",43,2005
"598","Huerfano",364,2005
"599","Jackson",124,2005
"600","Jefferson",32726,2005
"601","Kiowa",103,2005
"602","Kit Carson",351,2005
"603","Lake",445,2005
"604","La Plata",2963,2005
"605","Larimer",15552,2005
"606","Las Animas",779,2005
"607","Lincoln",228,2005
"608","Logan",814,2005
"609","Mesa",6633,2005
"610","Mineral",45,2005
"611","Moffat",702,2005
"612","Montezuma",1335,2005
"613","Montrose",2289,2005
"614","Morgan",1138,2005
